module,operator,ms_float,ms_double,speedup,max_abs,rmse
ImageStatistics,AccumulateImageFilter,13.4786,16.8210,1.2480,0.00000000,0.00000000
ImageStatistics,BinaryProjectionImageFilter,1.2809,1.2342,0.9636,0.00000000,0.00000000
LabelMap,BinaryShapeKeepNObjectsImageFilter,8.5797,8.7455,1.0193,0.00000000,0.00000000
Thresholding,BinaryThresholdProjectionImageFilter,1.3624,2.3780,1.7455,0.00000000,0.00000000
ImageGrid,BSplineDownsampleImageFilter,10.2152,13.1648,1.2887,0.00000000,0.00000000
ImageGrid,BSplineUpsampleImageFilter,63.8826,87.0754,1.3631,0.00000000,0.00000000
DisplacementField,ComposeDisplacementFieldsImageFilter,3.6538,6.2867,1.7206,0.00000000,0.00000000
ImageIntensity,ConstrainedValueDifferenceImageFilter,0.5424,1.1022,2.0321,0.00000000,0.00000000
DistanceMap,ContourDirectedMeanDistanceImageFilter,9.0445,10.6658,1.1793,0.00000000,0.00000000
DistanceMap,ContourMeanDistanceImageFilter,19.6791,22.5678,1.1468,0.00000000,0.00000000
ImageGradient,DifferenceOfGaussiansGradientImageFilter,11.9017,13.4563,1.1306,0.00000000,0.00000000
DistanceMap,DirectedHausdorffDistanceImageFilter,8.5908,10.9660,1.2765,0.00000000,0.00000000
MathematicalMorphology,DoubleThresholdImageFilter,76.4531,96.6138,1.2637,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.00000000,inf
DisplacementField,ExponentialDisplacementFieldImageFilter,3.1325,3.3735,1.0769,0.00000000,0.00000000
BinaryMathematicalMorphology,FastIncrementalBinaryDilateImageFilter,36.1891,37.8968,1.0472,0.00000000,0.00000000
PDEDeformable,FastSymmetricForcesDemonsRegistrationFilter,117.5230,74.6835,0.6355,0.00000000,0.00000000
Smoothing,FFTDiscreteGaussianImageFilter,219.3950,218.5589,0.9962,0.00000779,0.00000356
ImageSources,GaborImageSource,105.1574,104.5851,0.9946,0.00000000,0.00000000
ImageSources,GaussianImageSource,32.7436,32.8603,1.0036,0.00000000,0.00000000
ImageGradient,GradientRecursiveGaussianImageFilter,29.7785,40.9321,1.3746,0.00000000,0.00000000
ConnectedComponents,HardConnectedComponentImageFilter,16.4448,16.8950,1.0274,0.00000000,0.00000000
ImageFeature,HessianRecursiveGaussianImageFilter,33.6295,35.2820,1.0491,0.00000000,0.00000000
ImageFeature,HoughTransform2DCirclesImageFilter,327.9146,340.5836,1.0386,0.00000000,0.00000000
misc,HoughTransform2DLinesImageFilter,FAIL,FAIL,FAIL,timeout_or_crash,
Deconvolution,InverseDeconvolutionImageFilter,221.3999,222.2555,1.0039,0.00000000,0.00000000
misc,InverseDisplacementFieldImageFilter,FAIL,FAIL,FAIL,timeout_or_crash,
Watersheds,IsolatedWatershedImageFilter,1534.4673,1479.9124,0.9644,0.00000000,0.00000000
LabelVoting,LabelVotingImageFilter,12.2975,13.7589,1.1188,0.00000000,0.00000000
ImageStatistics,MedianProjectionImageFilter,1.6425,2.2293,1.3573,0.00000000,0.00000000
ImageStatistics,MinimumMaximumImageFilter,0.5514,1.0681,1.9370,0.00000000,0.00000000
Watersheds,MorphologicalWatershedFromMarkersImageFilter,123.6461,128.2410,1.0372,0.00000000,0.00000000
ImageIntensity,NaryAddImageFilter,1.0296,1.7733,1.7224,0.00000000,0.00000000
ImageIntensity,NaryMaximumImageFilter,1.9443,3.5886,1.8457,0.00000000,0.00000000
Deconvolution,ProjectedLandweberDeconvolutionImageFilter,584.4340,589.6961,1.0090,0.00000000,0.00000000
LabelMap,ShapeRelabelImageFilter,5.4559,5.7471,1.0534,0.00000000,0.00000000
ImageStatistics,StandardDeviationProjectionImageFilter,1.5290,2.1549,1.4094,0.00000000,0.00000000
ImageCompare,STAPLEImageFilter,37.1313,32.2864,0.8695,0.00000000,0.00000000
ImageStatistics,StatisticsImageFilter,0.7894,1.3991,1.7723,0.00000000,0.00000000
PDEDeformable,SymmetricForcesDemonsRegistrationFilter,34.9831,45.7087,1.3066,0.00000000,0.00000000
ImageIntensity,TernaryAddImageFilter,0.7760,1.6195,2.0870,0.00000000,0.00000000
ConnectedComponents,ThresholdMaximumConnectedComponentsImageFilter,157.9183,162.9058,1.0316,0.00000000,0.00000000
ImageGrid,TileImageFilter,1.3237,2.6133,1.9743,0.00000000,0.00000000
FFT,VnlForwardFFTImageFilter,122.7988,146.9076,1.1963,0.00000000,0.00000000
FFT,VnlInverseFFTImageFilter,240.5228,276.4924,1.1495,0.00000000,0.00000000
Watersheds,WatershedImageFilter,326.8760,335.7351,1.0271,0.00000000,0.00000000
