module,operator,ms_float,ms_double,speedup,max_abs,rmse
ImageStatistics,AccumulateImageFilter,13.6439,18.9870,1.3916,0.00000000,0.00000000
ImageStatistics,BinaryProjectionImageFilter,1.1507,0.9771,0.8491,0.00000000,0.00000000
LabelMap,BinaryShapeKeepNObjectsImageFilter,6.1097,6.4839,1.0612,0.00000000,0.00000000
Thresholding,BinaryThresholdProjectionImageFilter,1.2723,1.8208,1.4311,0.00000000,0.00000000
ImageGrid,BSplineDownsampleImageFilter,10.2486,12.6293,1.2323,0.00000000,0.00000000
ImageGrid,BSplineUpsampleImageFilter,62.6046,86.3424,1.3792,0.00000000,0.00000000
DisplacementField,ComposeDisplacementFieldsImageFilter,3.9781,3.7248,0.9363,0.00000000,0.00000000
ImageIntensity,ConstrainedValueDifferenceImageFilter,0.5299,1.1141,2.1024,0.00000000,0.00000000
DistanceMap,ContourDirectedMeanDistanceImageFilter,9.4586,10.8961,1.1520,0.00000000,0.00000000
DistanceMap,ContourMeanDistanceImageFilter,22.5158,23.4468,1.0414,0.00000000,0.00000000
ImageGradient,DifferenceOfGaussiansGradientImageFilter,11.8115,14.1568,1.1986,0.00000000,0.00000000
DistanceMap,DirectedHausdorffDistanceImageFilter,9.0906,9.2691,1.0196,0.00000000,0.00000000
MathematicalMorphology,DoubleThresholdImageFilter,71.1688,91.7877,1.2897,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.00000000,inf
DisplacementField,ExponentialDisplacementFieldImageFilter,3.1905,3.3207,1.0408,0.00000000,0.00000000
BinaryMathematicalMorphology,FastIncrementalBinaryDilateImageFilter,35.9472,37.2572,1.0364,0.00000000,0.00000000
PDEDeformable,FastSymmetricForcesDemonsRegistrationFilter,32.9639,106.7734,3.2391,0.00000000,0.00000000
Smoothing,FFTDiscreteGaussianImageFilter,216.8995,233.3683,1.0759,0.00000779,0.00000356
ImageSources,GaborImageSource,105.0777,104.4710,0.9942,0.00000000,0.00000000
ImageSources,GaussianImageSource,32.7117,32.8564,1.0044,0.00000000,0.00000000
ImageGradient,GradientRecursiveGaussianImageFilter,30.8061,35.5337,1.1535,0.00000000,0.00000000
ConnectedComponents,HardConnectedComponentImageFilter,16.5352,16.5125,0.9986,0.00000000,0.00000000
ImageFeature,HessianRecursiveGaussianImageFilter,40.6154,40.2087,0.9900,0.00000000,0.00000000
ImageFeature,HoughTransform2DCirclesImageFilter,326.3814,337.6476,1.0345,0.00000000,0.00000000
misc,HoughTransform2DLinesImageFilter,FAIL,FAIL,FAIL,timeout_or_crash,
Deconvolution,InverseDeconvolutionImageFilter,222.3509,219.8154,0.9886,0.00000000,0.00000000
misc,InverseDisplacementFieldImageFilter,FAIL,FAIL,FAIL,timeout_or_crash,
Watersheds,IsolatedWatershedImageFilter,1514.9952,1469.4252,0.9699,0.00000000,0.00000000
LabelVoting,LabelVotingImageFilter,8.0148,8.1165,1.0127,0.00000000,0.00000000
ImageStatistics,MedianProjectionImageFilter,1.5059,2.2005,1.4612,0.00000000,0.00000000
ImageStatistics,MinimumMaximumImageFilter,0.6586,1.3534,2.0549,0.00000000,0.00000000
Watersheds,MorphologicalWatershedFromMarkersImageFilter,124.2738,127.3335,1.0246,0.00000000,0.00000000
ImageIntensity,NaryAddImageFilter,1.3369,2.2820,1.7069,0.00000000,0.00000000
ImageIntensity,NaryMaximumImageFilter,0.7214,1.6950,2.3495,0.00000000,0.00000000
Deconvolution,ProjectedLandweberDeconvolutionImageFilter,583.2716,582.7890,0.9992,0.00000000,0.00000000
LabelMap,ShapeRelabelImageFilter,8.6110,9.4093,1.0927,0.00000000,0.00000000
ImageStatistics,StandardDeviationProjectionImageFilter,1.4421,2.0435,1.4170,0.00000000,0.00000000
ImageCompare,STAPLEImageFilter,37.0414,32.1203,0.8671,0.00000000,0.00000000
ImageStatistics,StatisticsImageFilter,0.8269,1.3589,1.6433,0.00000000,0.00000000
PDEDeformable,SymmetricForcesDemonsRegistrationFilter,41.6298,42.5871,1.0230,0.00000000,0.00000000
ImageIntensity,TernaryAddImageFilter,0.7840,1.3161,1.6786,0.00000000,0.00000000
ConnectedComponents,ThresholdMaximumConnectedComponentsImageFilter,166.3250,164.6934,0.9902,0.00000000,0.00000000
ImageGrid,TileImageFilter,1.8482,3.2245,1.7446,0.00000000,0.00000000
FFT,VnlForwardFFTImageFilter,123.9382,141.9889,1.1456,0.00000000,0.00000000
FFT,VnlInverseFFTImageFilter,243.8807,274.8204,1.1269,0.00000000,0.00000000
Watersheds,WatershedImageFilter,326.9103,344.9216,1.0551,0.00000000,0.00000000
