module,operator,ms_float,ms_double,speedup,max_abs,rmse
ImageStatistics,AdaptiveHistogramEqualizationImageFilter,23.7979,21.0833,0.8859,0.00000763,0.00000367
ImageNoise,AdditiveGaussianNoiseImageFilter,0.9174,1.7907,1.9519,0.00001308,0.00000356
AntiAlias,AntiAliasBinaryImageFilter,69.1919,75.9427,1.0976,0.00000022,0.00000001
DistanceMap,ApproximateSignedDistanceMapImageFilter,79.6942,90.9902,1.1417,0.00000024,0.00000002
ImageLabel,BinaryContourImageFilter,1.9573,2.1185,1.0824,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.00000000,inf
LabelVoting,BinaryMedianImageFilter,1.2274,1.0846,0.8837,0.00000000,0.00000000
Smoothing,BinomialBlurImageFilter,141.2012,76.1965,0.5396,0.00000000,0.00000000
ImageGrid,BinShrinkImageFilter,0.5293,1.1104,2.0978,0.00000000,0.00000000
ImageFeature,CannyEdgeDetectionImageFilter,19.1139,21.2230,1.1103,0.00000000,0.00000000
ImageGrid,ChangeInformationImageFilter,0.0246,1.0791,43.9496,0.00000000,0.00000000
ImageIntensity,ClampImageFilter,0.4984,1.2669,2.5420,0.00000000,0.00000000
ImageGrid,ConstantPadImageFilter,0.7064,1.4431,2.0431,0.00000000,0.00000000
ImageGrid,CropImageFilter,0.4903,1.1711,2.3884,0.00000000,0.00000000
ImageGrid,CyclicShiftImageFilter,0.8469,1.5951,1.8833,0.00000000,0.00000000
ImageFeature,DerivativeImageFilter,1.5138,3.7847,2.5001,0.00000000,0.00000000
ImageFeature,DiscreteGaussianDerivativeImageFilter,7.8634,9.7840,1.2442,0.00000045,0.00000003
ImageGrid,ExpandImageFilter,1.4761,2.4102,1.6329,0.00000000,0.00000000
DistanceMap,FastChamferDistanceImageFilter,66.2936,73.1071,1.1028,0.00000000,0.00000000
ImageGrid,FlipImageFilter,0.5101,1.2464,2.4434,0.00000000,0.00000000
ImageGradient,GradientMagnitudeRecursiveGaussianImageFilter,20.5170,25.1490,1.2258,0.00000187,0.00000015
Thresholding,HuangThresholdImageFilter,4.8936,5.5896,1.1422,0.00000000,0.00000000
ImageIntensity,IntensityWindowingImageFilter,0.8280,1.7625,2.1285,0.00000000,nan
Thresholding,IntermodesThresholdImageFilter,3.7032,4.5584,1.2309,0.00000000,0.00000000
DistanceMap,IsoContourDistanceImageFilter,11.9621,11.3825,0.9515,0.00000001,0.00000000
Thresholding,IsoDataThresholdImageFilter,4.2271,4.6878,1.1090,0.00000000,0.00000000
Thresholding,KittlerIllingworthThresholdImageFilter,4.3431,5.6534,1.3017,0.00000000,0.00000000
Thresholding,LiThresholdImageFilter,4.3369,5.4802,1.2636,0.00000000,0.00000000
ImageIntensity,Log10ImageFilter,1.5520,3.1966,2.0596,0.00000012,nan
ImageIntensity,LogImageFilter,1.9596,3.1500,1.6075,0.00000024,nan
Thresholding,MaximumEntropyThresholdImageFilter,6.9789,8.0328,1.1510,0.00000000,0.00000000
CurvatureFlow,MinMaxCurvatureFlowImageFilter,36.1486,33.4399,0.9251,0.00000763,0.00000329
ImageGrid,MirrorPadImageFilter,0.5241,1.2188,2.3254,0.00000000,0.00000000
Thresholding,MomentsThresholdImageFilter,4.2680,5.0893,1.1924,0.00000000,0.00000000
Registration,MultiResolutionPyramidImageFilter,6.8332,10.9873,1.6079,0.00001883,0.00000443
ImageIntensity,NormalizeToConstantImageFilter,1.5049,2.3870,1.5861,0.00000000,0.00000000
Thresholding,OtsuMultipleThresholdsImageFilter,56.8250,60.8047,1.0700,0.00000000,0.00000000
MathematicalMorphology,RankImageFilter,11.1496,8.3432,0.7483,0.00000000,0.00000000
Registration,RecursiveMultiResolutionPyramidImageFilter,3.8212,4.9319,1.2907,0.00001498,0.00000415
ImageGrid,RegionOfInterestImageFilter,0.5190,1.2478,2.4042,0.00000000,0.00000000
Thresholding,RenyiEntropyThresholdImageFilter,8.7093,9.6019,1.1025,0.00000000,0.00000000
ImageNoise,SaltAndPepperNoiseImageFilter,0.8981,1.5747,1.7534,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.00000000,inf
Thresholding,ShanbhagThresholdImageFilter,6.5518,7.3947,1.1287,0.00000000,0.00000000
ImageNoise,ShotNoiseImageFilter,1.7834,2.7878,1.5632,0.00001522,0.00000357
ImageGrid,ShrinkImageFilter,0.4905,1.0956,2.2336,0.00000000,0.00000000
ImageIntensity,SigmoidImageFilter,1.6557,2.7263,1.6466,179769272747276226945882377411290981404325996661361720468412242522537928070797565271909689592602339599350907611450162626401899105572463550995096731772245729323459178378228860588246212067815818137070158542464648878681654516295341964992555331502414606404604810361088786013481013344477275997335941101361335107584.00000000,inf
ImageFeature,SimpleContourExtractorImageFilter,0.7611,2.4477,3.2162,0.00000000,0.00000000
ImageNoise,SpeckleNoiseImageFilter,96.0521,92.5558,0.9636,0.00001526,0.00000361
Thresholding,TriangleThresholdImageFilter,4.1540,5.2616,1.2666,0.00000000,0.00000000
ImageFeature,UnsharpMaskImageFilter,8.7967,12.8916,1.4655,0.00000000,0.00000000
LabelVoting,VotingBinaryHoleFillingImageFilter,1.0778,1.2228,1.1346,0.00000000,0.00000000
LabelVoting,VotingBinaryImageFilter,1.2182,1.3979,1.1475,0.00000000,0.00000000
ImageGrid,WrapPadImageFilter,0.5557,1.1857,2.1335,0.00000000,0.00000000
Thresholding,YenThresholdImageFilter,4.2388,4.9648,1.1713,0.00000000,0.00000000
ImageFeature,ZeroCrossingBasedEdgeDetectionImageFilter,6.0226,12.5059,2.0765,1.00000000,0.00195312
ImageGrid,ZeroFluxNeumannPadImageFilter,0.4971,1.1804,2.3744,0.00000000,0.00000000
