module,operator,ms_float,ms_double,speedup,max_abs,rmse
ImageStatistics,AdaptiveHistogramEqualizationImageFilter,24.7666,22.5053,0.9087,0.00000763,0.00000367
ImageNoise,AdditiveGaussianNoiseImageFilter,0.9622,1.7711,1.8407,0.00001308,0.00000356
AntiAlias,AntiAliasBinaryImageFilter,68.5953,74.6363,1.0881,0.00000022,0.00000001
DistanceMap,ApproximateSignedDistanceMapImageFilter,74.3933,82.5000,1.1090,0.00000024,0.00000002
ImageLabel,BinaryContourImageFilter,1.4603,1.7637,1.2078,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.00000000,inf
LabelVoting,BinaryMedianImageFilter,1.2863,1.3672,1.0629,0.00000000,0.00000000
Smoothing,BinomialBlurImageFilter,77.2660,76.1242,0.9852,0.00000000,0.00000000
ImageGrid,BinShrinkImageFilter,0.5114,1.1578,2.2639,0.00000000,0.00000000
ImageFeature,CannyEdgeDetectionImageFilter,19.9049,22.5764,1.1342,0.00000000,0.00000000
ImageGrid,ChangeInformationImageFilter,0.0246,0.5883,23.9067,0.00000000,0.00000000
ImageIntensity,ClampImageFilter,0.5044,1.2329,2.4442,0.00000000,0.00000000
ImageGrid,ConstantPadImageFilter,0.4890,1.1949,2.4435,0.00000000,0.00000000
ImageGrid,CropImageFilter,0.5037,1.2523,2.4863,0.00000000,0.00000000
ImageGrid,CyclicShiftImageFilter,0.9019,1.5921,1.7652,0.00000000,0.00000000
ImageFeature,DerivativeImageFilter,2.3919,2.8562,1.1941,0.00000000,0.00000000
ImageFeature,DiscreteGaussianDerivativeImageFilter,6.0867,7.4059,1.2167,0.00000045,0.00000003
ImageGrid,ExpandImageFilter,1.7447,2.4907,1.4275,0.00000000,0.00000000
DistanceMap,FastChamferDistanceImageFilter,66.2114,72.9998,1.1025,0.00000000,0.00000000
ImageGrid,FlipImageFilter,0.5341,1.3011,2.4362,0.00000000,0.00000000
ImageGradient,GradientMagnitudeRecursiveGaussianImageFilter,19.9527,23.9731,1.2015,0.00000187,0.00000015
Thresholding,HuangThresholdImageFilter,3.9757,4.8864,1.2290,0.00000000,0.00000000
ImageIntensity,IntensityWindowingImageFilter,0.5700,1.3533,2.3742,0.00000000,nan
Thresholding,IntermodesThresholdImageFilter,3.5641,5.5272,1.5508,0.00000000,0.00000000
DistanceMap,IsoContourDistanceImageFilter,11.5479,12.4449,1.0777,0.00000001,0.00000000
Thresholding,IsoDataThresholdImageFilter,4.4327,5.6067,1.2648,0.00000000,0.00000000
Thresholding,KittlerIllingworthThresholdImageFilter,4.0633,5.2910,1.3022,0.00000000,0.00000000
Thresholding,LiThresholdImageFilter,4.3977,6.3894,1.4529,0.00000000,0.00000000
ImageIntensity,Log10ImageFilter,2.2369,3.0402,1.3591,0.00000012,nan
