module,operator,ms_float,ms_double,speedup,max_abs,rmse
BiasCorrection,MRIBiasFieldCorrectionFilter,43.6892,73.8904,1.6913,0,0
DiffusionTensorImage,TensorFractionalAnisotropyImageFilter,0.0705,0.0663,0.9404,0,0
DiffusionTensorImage,TensorRelativeAnisotropyImageFilter,0.0701,0.0673,0.9605,0,0
DiffusionTensorImage,DiffusionTensor3DReconstructionImageFilter,109.1182,114.8369,1.0524,0,0
ImageFeature,Hessian3DToVesselnessMeasureImageFilter,6.4988,6.9133,1.0638,0,0
ImageFeature,MultiScaleHessianBasedMeasureImageFilter,6.1855,6.0957,0.9855,0,0
Deconvolution,ParametricBlindLeastSquaresDeconvolutionImageFilter,3.9088,3.6277,0.9281,0,0
Deconvolution,ProjectedIterativeDeconvolutionImageFilter,5.1652,9.4706,1.8335,0,0
PDEDeformable,CurvatureRegistrationFilter,FAIL,FAIL,FAIL,needs_FFTW,
ImageFeature,GradientVectorFlowImageFilter,2.3321,2.4052,1.0313,0,0
ImageFeature,MaskFeaturePointSelectionFilter,6.7049,8.9479,1.3345,0,0
FFT,VnlComplexToComplexFFTImageFilter,0.8525,0.8376,0.9825,0,0
FFT,VnlComplexToComplex1DFFTImageFilter,0.2552,0.2595,1.0168,0,0
ImageGrid,BSplineControlPointImageFilter,0.2811,0.2829,1.0066,0,0
ImageGrid,InterpolateImagePointsFilter,0.5048,0.4876,0.9660,0,0
ImageGrid,OrientImageFilter,0.2369,0.2417,1.0204,0,0
ImageGrid,SliceBySliceImageFilter,11.8129,12.0565,1.0206,0,0
ImageIntensity,PolylineMask2DImageFilter,0.0560,0.0571,1.0198,0,0
ImageIntensity,PolylineMaskImageFilter,0.4470,0.4510,1.0090,0,0
ImageIntensity,VectorExpandImageFilter,0.2566,0.2369,0.9231,0,0
ImageIntensity,SymmetricEigenAnalysisImageFilter,0.2873,0.2968,1.0330,0,0
ImageIntensity,MatrixIndexSelectionImageFilter,0.5481,0.5332,0.9728,0,0
SpatialFunction,SpatialFunctionImageEvaluatorFilter,0.0692,0.0725,1.0482,0,0
ImageStatistics,GetAverageSliceImageFilter,0.1821,0.1898,1.0421,0,0
DisplacementField,InverseDisplacementFieldImageFilter,0.4109,0.4049,0.9855,0,0
DisplacementField,TimeVaryingVelocityFieldIntegrationImageFilter,0.2027,0.1780,0.8778,0,0
ImageFusion,LabelMapContourOverlayImageFilter,0.4340,0.4259,0.9814,0,0
MathematicalMorphology,MaskedMovingHistogramImageFilter,2.9646,3.2081,1.0822,0,0
ImageFilterBase,CastImageFilter,0.2454,0.2519,1.0264,0,0
ConnectedComponents,VectorConnectedComponentImageFilter,0.0844,0.0785,0.9297,0,0
Classifiers,BayesianClassifierImageFilter,5.3443,5.7228,1.0708,0,0
Voronoi,VoronoiSegmentationRGBImageFilter,5.9919,5.8440,0.9753,0,0
KLMRegionGrowing,KLMRegionGrowImageFilter,0.8794,0.8710,0.9905,0,0
LevelSets,VectorThresholdSegmentationLevelSetImageFilter,1.8162,1.8261,1.0055,0,0
LevelSets,ImplicitManifoldNormalVectorFilter,4.5828,4.6039,1.0046,0,0
