module,operator,ms_float,ms_double,speedup,max_abs,rmse
BiasCorrection,MRIBiasFieldCorrectionFilter,55.0376,77.4790,1.4077,0,0
DiffusionTensorImage,TensorFractionalAnisotropyImageFilter,0.0692,0.0640,0.9253,0,0
DiffusionTensorImage,TensorRelativeAnisotropyImageFilter,0.0713,0.0681,0.9553,0,0
DiffusionTensorImage,DiffusionTensor3DReconstructionImageFilter,122.6460,121.5540,0.9911,0,0
ImageFeature,Hessian3DToVesselnessMeasureImageFilter,3.1584,3.1805,1.0070,0,0
ImageFeature,MultiScaleHessianBasedMeasureImageFilter,6.0631,6.1449,1.0135,0,0
Deconvolution,ParametricBlindLeastSquaresDeconvolutionImageFilter,30.2675,17.2866,0.5711,0,0
Deconvolution,ProjectedIterativeDeconvolutionImageFilter,2.4174,2.1214,0.8775,0,0
PDEDeformable,CurvatureRegistrationFilter,FAIL,FAIL,FAIL,needs_FFTW,
ImageFeature,GradientVectorFlowImageFilter,5.9696,2.7059,0.4533,0,0
ImageFeature,MaskFeaturePointSelectionFilter,12.9644,9.2252,0.7116,0,0
FFT,VnlComplexToComplexFFTImageFilter,0.3672,0.3969,1.0809,0,0
FFT,VnlComplexToComplex1DFFTImageFilter,0.2559,0.2563,1.0016,0,0
ImageGrid,BSplineControlPointImageFilter,0.3272,0.3385,1.0345,0,0
ImageGrid,InterpolateImagePointsFilter,1.0108,1.0022,0.9915,0,0
ImageGrid,OrientImageFilter,0.2342,0.2310,0.9864,0,0
ImageGrid,SliceBySliceImageFilter,0.9765,0.9956,1.0196,0,0
ImageIntensity,PolylineMask2DImageFilter,0.0569,0.0625,1.0990,0,0
ImageIntensity,PolylineMaskImageFilter,0.4469,0.4517,1.0108,0,0
ImageIntensity,VectorExpandImageFilter,3.1792,1.6481,0.5184,0,0
ImageIntensity,SymmetricEigenAnalysisImageFilter,2.9041,2.8742,0.9897,0,0
ImageIntensity,MatrixIndexSelectionImageFilter,0.2587,0.2427,0.9379,0,0
SpatialFunction,SpatialFunctionImageEvaluatorFilter,0.0687,0.0686,0.9985,0,0
ImageStatistics,GetAverageSliceImageFilter,0.1857,0.1933,1.0411,0,0
DisplacementField,InverseDisplacementFieldImageFilter,0.4113,3.9996,9.7243,0,0
DisplacementField,TimeVaryingVelocityFieldIntegrationImageFilter,0.8094,0.3944,0.4873,0,0
ImageFusion,LabelMapContourOverlayImageFilter,0.4479,0.4301,0.9603,0,0
MathematicalMorphology,MaskedMovingHistogramImageFilter,0.2637,0.2649,1.0043,0,0
ImageFilterBase,CastImageFilter,0.2812,0.2691,0.9570,0,0
ConnectedComponents,VectorConnectedComponentImageFilter,0.0847,0.0778,0.9183,0,0
Classifiers,BayesianClassifierImageFilter,13.6073,17.1278,1.2587,0,0
Voronoi,VoronoiSegmentationRGBImageFilter,2.8144,2.8185,1.0015,0,0
KLMRegionGrowing,KLMRegionGrowImageFilter,0.8224,0.8633,1.0497,0,0
LevelSets,VectorThresholdSegmentationLevelSetImageFilter,6.0434,6.3752,1.0549,0,0
LevelSets,ImplicitManifoldNormalVectorFilter,18.9521,22.1765,1.1701,0,0
