module,operator,ms_float,ms_double,speedup,max_abs,rmse
ImageIntensity,AbsImageFilter,1.6621,3.0857,1.8565,0.00000000,0.00000000
ImageIntensity,AcosImageFilter,1.5982,2.6272,1.6439,0.00000004,nan
ImageIntensity,AsinImageFilter,1.7518,3.3104,1.8897,0.00000004,nan
ImageIntensity,AtanImageFilter,1.8973,6.2537,3.2961,0.00000006,0.00000003
ImageIntensity,SinImageFilter,2.1101,3.0789,1.4591,0.00000003,0.00000001
ImageIntensity,CosImageFilter,1.7828,3.1241,1.7524,0.00000003,0.00000001
ImageIntensity,TanImageFilter,2.8165,3.6888,1.3097,0.00000499,0.00000070
ImageIntensity,ExpImageFilter,2.7745,2.8727,1.0354,inf,inf
ImageIntensity,ExpNegativeImageFilter,2.4296,3.4600,1.4241,0.00000001,0.00000000
ImageIntensity,SqrtImageFilter,2.1124,3.2233,1.5259,0.00000047,0.00000023
ImageIntensity,SquareImageFilter,1.6739,2.4997,1.4933,0.00000000,0.00000000
ImageIntensity,InvertIntensityImageFilter,1.6350,2.9503,1.8045,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.00000000,inf
ImageIntensity,BoundedReciprocalImageFilter,1.4834,2.0797,1.4020,0.00000001,0.00000000
ImageIntensity,RoundImageFilter,1.9569,3.0100,1.5381,0.00000000,0.00000000
ImageIntensity,NormalizeImageFilter,3.0736,6.1679,2.0068,0.00000006,0.00000002
ImageIntensity,AddImageFilter,1.7838,3.1145,1.7460,0.00000000,0.00000000
ImageIntensity,SubtractImageFilter,1.5311,3.1243,2.0405,0.00000000,0.00000000
ImageIntensity,MultiplyImageFilter,1.5167,2.4246,1.5986,0.00000000,0.00000000
ImageIntensity,DivideImageFilter,3.4519,4.4610,1.2923,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.00000000,inf
ImageIntensity,DivideOrZeroOutImageFilter,1.5327,3.0998,2.0225,0.00000000,0.00000000
ImageIntensity,MaximumImageFilter,1.6261,3.0571,1.8800,0.00000000,0.00000000
ImageIntensity,MinimumImageFilter,1.7971,3.3151,1.8448,0.00000000,0.00000000
ImageIntensity,Atan2ImageFilter,2.6932,3.4716,1.2890,0.00000002,0.00000002
ImageIntensity,PowImageFilter,2.6561,3.6868,1.3881,inf,nan
ImageFeature,LaplacianImageFilter,16.4603,17.2503,1.0480,0.00000000,0.00000000
ImageFeature,LaplacianSharpeningImageFilter,27.5805,24.8690,0.9017,0.00000723,0.00000344
ImageFeature,ZeroCrossingImageFilter,9.6586,10.7744,1.1155,0.00000000,0.00000000
ImageFeature,SobelEdgeDetectionImageFilter,35.1330,33.3620,0.9496,0.00001523,0.00000120
ImageGradient,GradientMagnitudeImageFilter,13.6399,13.0599,0.9575,0.00000188,0.00000015
FFT,FFTShiftImageFilter,3.7683,9.3571,2.4831,0.00000000,0.00000000
FFT,FFTPadImageFilter,1.1022,2.4313,2.2058,0.00000000,0.00000000
MathematicalMorphology,GrayscaleDilateImageFilter,9.8856,11.9648,1.2103,0.00000000,0.00000000
MathematicalMorphology,GrayscaleErodeImageFilter,11.3834,11.6577,1.0241,0.00000000,0.00000000
MathematicalMorphology,GrayscaleMorphologicalOpeningImageFilter,22.6211,23.8312,1.0535,0.00000000,0.00000000
MathematicalMorphology,GrayscaleMorphologicalClosingImageFilter,22.0308,23.9678,1.0879,0.00000000,0.00000000
MathematicalMorphology,MorphologicalGradientImageFilter,25.1146,22.8811,0.9111,0.00000000,0.00000000
MathematicalMorphology,BlackTopHatImageFilter,24.0625,25.9948,1.0803,0.00000000,0.00000000
MathematicalMorphology,WhiteTopHatImageFilter,22.7081,25.2117,1.1103,0.00000000,0.00000000
Smoothing,MeanImageFilter,34.9531,36.4890,1.0439,0.00000678,0.00000354
Smoothing,MedianImageFilter,36.0729,38.0647,1.0552,0.00000000,0.00000000
Smoothing,BoxMeanImageFilter,22.1723,23.7915,1.0730,0.00000678,0.00000354
Smoothing,BoxSigmaImageFilter,25.9557,26.7723,1.0315,2.09761763,nan
Smoothing,DiscreteGaussianImageFilter,29.4009,30.3731,1.0331,0.00001305,0.00000381
Smoothing,SmoothingRecursiveGaussianImageFilter,7.3054,13.8636,1.8977,0.00000000,0.00000000
ImageFeature,LaplacianRecursiveGaussianImageFilter,18.2075,19.4580,1.0687,0.00000000,0.00000000
ImageIntensity,RescaleIntensityImageFilter,24.0682,33.2382,1.3810,0.00000003,0.00000001
ImageIntensity,ShiftScaleImageFilter,1.7643,4.4117,2.5006,0.00000000,0.00000000
Thresholding,BinaryThresholdImageFilter,1.6641,2.6275,1.5790,0.00000000,0.00000000
Thresholding,OtsuThresholdImageFilter,8.4512,9.3752,1.1093,0.00000000,0.00000000
ImageCompare,AbsoluteValueDifferenceImageFilter,1.9479,3.2042,1.6449,0.00000000,0.00000000
ImageCompare,SquaredDifferenceImageFilter,1.7046,2.9886,1.7533,0.00000000,0.00000000
BinaryMathematicalMorphology,BinaryDilateImageFilter,471.8393,470.5893,0.9974,0.00000000,0.00000000
BinaryMathematicalMorphology,BinaryErodeImageFilter,638.1484,646.0336,1.0124,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.00000000,inf
BinaryMathematicalMorphology,BinaryMorphologicalOpeningImageFilter,1105.3446,1114.9991,1.0087,0.00000000,0.00000000
BinaryMathematicalMorphology,BinaryMorphologicalClosingImageFilter,1284.4092,1153.6995,0.8982,0.00000000,0.00000000
DistanceMap,SignedMaurerDistanceMapImageFilter,17.0544,17.4022,1.0204,0.00001526,0.00000309
DistanceMap,DanielssonDistanceMapImageFilter,2045.5712,1818.2675,0.8889,0.00001526,0.00000286
DistanceMap,SignedDanielssonDistanceMapImageFilter,3540.6698,3543.9895,1.0009,0.00001526,0.00000309
