module,operator,ms_float,ms_double,speedup,max_abs,rmse
ImageIntensity,AbsImageFilter,1.4246,2.6549,1.8636,0.00000000,0.00000000
ImageIntensity,AcosImageFilter,1.7320,2.8523,1.6468,0.00000004,nan
ImageIntensity,AsinImageFilter,1.2819,2.3533,1.8357,0.00000004,nan
ImageIntensity,AtanImageFilter,1.9368,2.8554,1.4743,0.00000006,0.00000003
ImageIntensity,SinImageFilter,2.3433,3.3844,1.4443,0.00000003,0.00000001
ImageIntensity,CosImageFilter,2.4261,3.3978,1.4005,0.00000003,0.00000001
ImageIntensity,TanImageFilter,2.2992,3.4899,1.5179,0.00000499,0.00000070
ImageIntensity,ExpImageFilter,1.6007,2.6885,1.6796,inf,inf
ImageIntensity,ExpNegativeImageFilter,1.9618,3.0759,1.5679,0.00000001,0.00000000
ImageIntensity,SqrtImageFilter,2.1229,3.1187,1.4691,0.00000047,0.00000023
ImageIntensity,SquareImageFilter,1.3989,2.4724,1.7674,0.00000000,0.00000000
ImageIntensity,InvertIntensityImageFilter,1.5263,3.1756,2.0806,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.00000000,inf
ImageIntensity,BoundedReciprocalImageFilter,1.4501,2.0614,1.4215,0.00000001,0.00000000
ImageIntensity,RoundImageFilter,1.6937,2.7645,1.6322,0.00000000,0.00000000
ImageIntensity,NormalizeImageFilter,3.5027,4.8817,1.3937,0.00000006,0.00000002
ImageIntensity,AddImageFilter,1.2330,2.0475,1.6606,0.00000000,0.00000000
ImageIntensity,SubtractImageFilter,1.7404,3.0885,1.7746,0.00000000,0.00000000
ImageIntensity,MultiplyImageFilter,1.6508,3.0802,1.8658,0.00000000,0.00000000
ImageIntensity,DivideImageFilter,3.4887,4.3863,1.2573,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.00000000,inf
ImageIntensity,DivideOrZeroOutImageFilter,1.2795,2.2797,1.7816,0.00000000,0.00000000
ImageIntensity,MaximumImageFilter,1.8039,2.7004,1.4970,0.00000000,0.00000000
ImageIntensity,MinimumImageFilter,1.8925,3.1497,1.6643,0.00000000,0.00000000
ImageIntensity,Atan2ImageFilter,2.4418,3.6432,1.4920,0.00000002,0.00000002
ImageIntensity,PowImageFilter,2.4730,3.5184,1.4228,inf,nan
ImageFeature,LaplacianImageFilter,16.5039,17.3515,1.0514,0.00000000,0.00000000
ImageFeature,LaplacianSharpeningImageFilter,19.6112,24.0756,1.2276,0.00000723,0.00000344
ImageFeature,ZeroCrossingImageFilter,8.3425,9.9437,1.1919,0.00000000,0.00000000
ImageFeature,SobelEdgeDetectionImageFilter,31.0067,32.5589,1.0501,0.00001523,0.00000120
ImageGradient,GradientMagnitudeImageFilter,12.1870,13.5313,1.1103,0.00000188,0.00000015
FFT,FFTShiftImageFilter,2.9880,4.0145,1.3436,0.00000000,0.00000000
FFT,FFTPadImageFilter,1.0758,2.3474,2.1820,0.00000000,0.00000000
MathematicalMorphology,GrayscaleDilateImageFilter,13.7069,11.2442,0.8203,0.00000000,0.00000000
MathematicalMorphology,GrayscaleErodeImageFilter,9.6302,11.4014,1.1839,0.00000000,0.00000000
MathematicalMorphology,GrayscaleMorphologicalOpeningImageFilter,22.0740,24.2136,1.0969,0.00000000,0.00000000
MathematicalMorphology,GrayscaleMorphologicalClosingImageFilter,36.7119,23.7981,0.6482,0.00000000,0.00000000
MathematicalMorphology,MorphologicalGradientImageFilter,22.4076,22.8969,1.0218,0.00000000,0.00000000
MathematicalMorphology,BlackTopHatImageFilter,23.9530,25.8535,1.0793,0.00000000,0.00000000
MathematicalMorphology,WhiteTopHatImageFilter,23.9515,24.9841,1.0431,0.00000000,0.00000000
Smoothing,MeanImageFilter,34.9028,36.2222,1.0378,0.00000678,0.00000354
Smoothing,MedianImageFilter,36.1269,37.9949,1.0517,0.00000000,0.00000000
