module,operator,ms_float,ms_double,speedup,max_abs,rmse
LevelSets,ReinitializeLevelSetImageFilter,496.8629,522.6077,1.0518,0,0
LevelSets,GeodesicActiveContourLevelSetImageFilter,88.0869,89.0886,1.0114,0,0
LevelSets,ShapeDetectionLevelSetImageFilter,26.6964,27.4550,1.0284,0,0
LevelSets,ThresholdSegmentationLevelSetImageFilter,32.8214,34.7028,1.0573,0,0
LevelSets,CurvesLevelSetImageFilter,86.9876,89.3531,1.0272,0,0
LevelSets,LaplacianSegmentationLevelSetImageFilter,28.3164,29.1101,1.0280,0,0
LevelSets,CannySegmentationLevelSetImageFilter,403.2276,402.0483,0.9971,0,0
LevelSets,NarrowBandThresholdSegmentationLevelSetImageFilter,94.1738,101.9677,1.0828,0,0
LevelSets,NarrowBandCurvesLevelSetImageFilter,154.9081,154.9953,1.0006,0,0
LevelSets,CollidingFrontsImageFilter,1501.1286,1572.0710,1.0473,0,0
LevelSets,UnsharpMaskLevelSetImageFilter,185.5958,185.1438,0.9976,0,0
LevelSets,AnisotropicFourthOrderLevelSetImageFilter,1705.6860,1734.0913,1.0167,0,0
LevelSets,IsotropicFourthOrderLevelSetImageFilter,1594.9345,1626.2149,1.0196,0,0
LevelSets,BinaryMaskToNarrowBandPointSetFilter,67.4743,65.0272,0.9637,0,0
LevelSets,ExtensionVelocitiesImageFilter,564.7741,589.7724,1.0443,0,0
