module	operator	source_csv	ms_double_bound	ms_float_bound
QuadEdgeMeshFiltering	BorderQuadEdgeMeshFilter	cat3_1024_bound.csv	1.0832	1.0559
QuadEdgeMeshFiltering	ParameterizationQuadEdgeMeshFilter	cat3_1024_bound.csv	1.9451	1.9551
QuadEdgeMeshFiltering	NormalQuadEdgeMeshFilter	cat3_1024_bound.csv	4.7291	4.5354
QuadEdgeMeshFiltering	QuadricDecimationQuadEdgeMeshFilter	cat3_1024_bound.csv	58.5225	58.5662
QuadEdgeMeshFiltering	SquaredEdgeLengthDecimationQuadEdgeMeshFilter	cat3_1024_bound.csv	6.8344	6.9050
QuadEdgeMeshFiltering	LaplacianDeformationQuadEdgeMeshFilterWithHardConstraints	cat3_1024_bound.csv	8.8681	8.8021
QuadEdgeMeshFiltering	LaplacianDeformationQuadEdgeMeshFilterWithSoftConstraints	cat3_1024_bound.csv	24.1679	24.1374
Path	OrthogonalSwath2DPathFilter	cat3_1024_bound.csv	29.9054	35.0621
LevelSetsv4	LevelSetDomainMapImageFilter	cat3_1024_bound.csv	0.0529	0.0556
Metricsv4	LabeledPointSetToPointSetMetricv4	cat3_1024_bound.csv	0.1803	0.1908
LevelSets	GeodesicActiveContourShapePriorLevelSetImageFilter	cat3_1024_bound.csv	4.7120	4.5554
DeformableMesh	DeformableSimplexMesh3DFilter	cat3_1024_bound.csv	9.1631	9.1765
DeformableMesh	DeformableSimplexMesh3DBalloonForceFilter	cat3_1024_bound.csv	5.8593	5.9246
DeformableMesh	DeformableSimplexMesh3DGradientConstraintForceFilter	cat3_1024_bound.csv	5.9962	6.0500
Common	ImageToSpatialObjectRegistrationMethod	cat3_1024_bound.csv	1.2299	1.2346
ImageIntensity	AndImageFilter	construct2_1024_bound.csv	0.5538	0.5057
LabelMap	BinaryImageToLabelMapFilter	construct2_1024_bound.csv	4.7297	4.5856
LabelMap	BinaryImageToShapeLabelMapFilter	construct2_1024_bound.csv	8.0924	7.2895
CurvatureFlow	BinaryMinMaxCurvatureFlowImageFilter	construct2_1024_bound.csv	21.1202	21.8004
ImageIntensity	BinaryNotImageFilter	construct2_1024_bound.csv	1.0182	1.0021
ImageLabel	ChangeLabelImageFilter	construct2_1024_bound.csv	1.0547	1.0413
