module,operator,ms_float,ms_double,speedup,max_abs,rmse
Common,MeanSquaresImageToImageMetric,46.9245,46.6431,0.9940,0,0
Common,NormalizedCorrelationImageToImageMetric,67.9313,68.2694,1.0050,0,0
Common,MeanReciprocalSquareDifferenceImageToImageMetric,77.1001,85.7026,1.1116,0,0
Common,GradientDifferenceImageToImageMetric,101.8540,106.3939,1.0446,0,0
Common,MattesMutualInformationImageToImageMetric,14.1676,14.1810,1.0010,0,0
Common,MutualInformationImageToImageMetric,34507.2309,34500.7013,0.9998,0,0
Common,MeanSquaresHistogramImageToImageMetric,184.7380,191.0076,1.0339,0,0
Common,CorrelationCoefficientHistogramImageToImageMetric,183.7910,188.0596,1.0232,0,0
Common,MutualInformationHistogramImageToImageMetric,187.6865,196.8784,1.0490,0,0
Common,NormalizedMutualInformationHistogramImageToImageMetric,186.6004,192.8726,1.0336,0,0
Common,KullbackLeiblerCompareHistogramImageToImageMetric,333.7318,341.6862,1.0238,0,0
Common,KappaStatisticImageToImageMetric,62.1636,64.3513,1.0352,0,0
Common,MatchCardinalityImageToImageMetric,1.3573,1.4106,1.0392,0,0
Common,MeanSquaresPointSetToImageMetric,31.6263,30.7094,0.9710,0,0
Common,MeanReciprocalSquareDifferencePointSetToImageMetric,32.2853,30.9671,0.9592,0,0
Common,NormalizedCorrelationPointSetToImageMetric,32.4193,32.2299,0.9942,0,0
Common,EuclideanDistancePointMetric,3404.8810,3427.9871,1.0068,0,0
Common,PointSetToImageRegistrationMethod,31.8833,32.9916,1.0348,0,0
Common,PointSetToPointSetRegistrationMethod,123.8677,125.0744,1.0097,0,0
Metricsv4,MeanSquaresImageToImageMetricv4,35.7390,34.2401,0.9581,0,0
Metricsv4,CorrelationImageToImageMetricv4,36.3996,36.1614,0.9935,0,0
Metricsv4,DemonsImageToImageMetricv4,45.1266,49.3160,1.0928,0,0
Metricsv4,ANTSNeighborhoodCorrelationImageToImageMetricv4,55.0771,46.9349,0.8522,0,0
Metricsv4,JointHistogramMutualInformationImageToImageMetricv4,61.0904,55.9281,0.9155,0,0
Metricsv4,MattesMutualInformationImageToImageMetricv4,51.8108,50.7363,0.9793,0,0
Metricsv4,ObjectToObjectMultiMetricv4,68.6992,63.3652,0.9224,0,0
Metricsv4,EuclideanDistancePointSetToPointSetMetricv4,19.7300,22.0539,1.1178,0,0
Metricsv4,ExpectationBasedPointSetToPointSetMetricv4,1.6432,1.6145,0.9825,0,0
Metricsv4,JensenHavrdaCharvatTsallisPointSetToPointSetMetricv4,4.3303,4.4774,1.0340,0,0
ImageGrid,BSplineScatteredDataPointSetToImageFilter,10.5120,10.5775,1.0062,0,0
