module,operator,ms_float,ms_double,speedup,max_abs,rmse
Common,MeanSquaresImageToImageMetric,48.0762,46.9926,0.9775,0,0
Common,NormalizedCorrelationImageToImageMetric,70.5826,70.4799,0.9985,0,0
Common,MeanReciprocalSquareDifferenceImageToImageMetric,71.8664,71.4973,0.9949,0,0
Common,GradientDifferenceImageToImageMetric,95.9580,108.0764,1.1263,0,0
Common,MattesMutualInformationImageToImageMetric,14.2355,14.2236,0.9992,0,0
Common,MutualInformationImageToImageMetric,34078.4154,34592.2475,1.0151,0,0
Common,MeanSquaresHistogramImageToImageMetric,188.1353,194.2404,1.0325,0,0
Common,CorrelationCoefficientHistogramImageToImageMetric,187.6606,192.7716,1.0272,0,0
Common,MutualInformationHistogramImageToImageMetric,184.2563,189.1678,1.0267,0,0
Common,NormalizedMutualInformationHistogramImageToImageMetric,185.8930,191.6756,1.0311,0,0
Common,KullbackLeiblerCompareHistogramImageToImageMetric,337.3177,338.9722,1.0049,0,0
Common,KappaStatisticImageToImageMetric,64.1887,67.1646,1.0464,0,0
Common,MatchCardinalityImageToImageMetric,1.4401,1.3339,0.9263,0,0
Common,MeanSquaresPointSetToImageMetric,32.0659,29.1058,0.9077,0,0
Common,MeanReciprocalSquareDifferencePointSetToImageMetric,30.5762,29.0326,0.9495,0,0
Common,NormalizedCorrelationPointSetToImageMetric,29.5999,27.4231,0.9265,0,0
Common,EuclideanDistancePointMetric,3408.5422,3427.3526,1.0055,0,0
Common,PointSetToImageRegistrationMethod,32.8579,29.5949,0.9007,0,0
Common,PointSetToPointSetRegistrationMethod,123.8590,125.0876,1.0099,0,0
Metricsv4,MeanSquaresImageToImageMetricv4,31.4839,31.6676,1.0058,0,0
Metricsv4,CorrelationImageToImageMetricv4,37.5901,34.4832,0.9173,0,0
Metricsv4,DemonsImageToImageMetricv4,43.0201,45.5721,1.0593,0,0
Metricsv4,ANTSNeighborhoodCorrelationImageToImageMetricv4,43.8123,42.5761,0.9718,0,0
Metricsv4,JointHistogramMutualInformationImageToImageMetricv4,53.7850,52.0341,0.9674,0,0
Metricsv4,MattesMutualInformationImageToImageMetricv4,53.2250,48.2161,0.9059,0,0
Metricsv4,ObjectToObjectMultiMetricv4,72.9111,73.9158,1.0138,0,0
Metricsv4,EuclideanDistancePointSetToPointSetMetricv4,23.0822,23.0980,1.0007,0,0
Metricsv4,ExpectationBasedPointSetToPointSetMetricv4,1.8478,1.9674,1.0647,0,0
Metricsv4,JensenHavrdaCharvatTsallisPointSetToPointSetMetricv4,3.3966,3.5143,1.0347,0,0
ImageGrid,BSplineScatteredDataPointSetToImageFilter,9.2215,9.0004,0.9760,0,0
