module,operator,ms_float,ms_double,speedup,max_abs,rmse
MathematicalMorphology,AnchorDilateImageFilter,14.1844,14.8354,1.0459,0,0
MathematicalMorphology,AnchorErodeImageFilter,16.9157,14.1492,0.8365,0,0
MathematicalMorphology,AnchorOpenImageFilter,11.9998,10.3736,0.8645,0,0
MathematicalMorphology,AnchorCloseImageFilter,17.4483,11.0614,0.6340,0,0
MathematicalMorphology,BasicDilateImageFilter,1.3956,1.2764,0.9146,0,0
MathematicalMorphology,BasicErodeImageFilter,1.4194,1.2761,0.8991,0,0
MathematicalMorphology,GrayscaleFunctionDilateImageFilter,2.1061,2.1243,1.0086,0,0
MathematicalMorphology,GrayscaleFunctionErodeImageFilter,1.4615,1.4082,0.9635,0,0
MathematicalMorphology,MovingHistogramDilateImageFilter,6.9715,7.6823,1.1020,0,0
MathematicalMorphology,MovingHistogramErodeImageFilter,13.4326,28.1482,2.0955,0,0
MathematicalMorphology,MovingHistogramMorphologicalGradientImageFilter,8.6543,7.9598,0.9198,0,0
MathematicalMorphology,VanHerkGilWermanDilateImageFilter,0.9597,1.0063,1.0485,0,0
MathematicalMorphology,VanHerkGilWermanErodeImageFilter,1.1929,1.4120,1.1837,0,0
MathematicalMorphology,GrayscaleConnectedOpeningImageFilter,417.0609,437.6210,1.0493,0,0
MathematicalMorphology,GrayscaleConnectedClosingImageFilter,312.4202,343.5134,1.0995,0,0
MathematicalMorphology,GrayscaleGeodesicDilateImageFilter,13.4803,16.4430,1.2198,0,0
MathematicalMorphology,GrayscaleGeodesicErodeImageFilter,12.9751,16.0151,1.2343,0,0
MathematicalMorphology,ReconstructionByDilationImageFilter,89.7014,93.1090,1.0380,0,0
MathematicalMorphology,ReconstructionByErosionImageFilter,88.0785,94.6821,1.0750,0,0
MathematicalMorphology,MaskedRankImageFilter,1.2893,2.0608,1.5984,0,0
LabelMap,BinaryShapeOpeningImageFilter,4.6604,4.7015,1.0088,0,0
LabelMap,BinaryStatisticsOpeningImageFilter,6.4141,7.1439,1.1138,0,0
LabelMap,BinaryStatisticsKeepNObjectsImageFilter,7.7834,8.5609,1.0999,0,0
LabelMap,LabelShapeOpeningImageFilter,2.5852,2.2604,0.8744,0,0
LabelMap,LabelShapeKeepNObjectsImageFilter,2.9510,2.8855,0.9778,0,0
LabelMap,LabelStatisticsOpeningImageFilter,168.9820,170.8849,1.0113,0,0
LabelMap,LabelStatisticsKeepNObjectsImageFilter,169.1040,171.5745,1.0146,0,0
LabelMap,StatisticsRelabelImageFilter,169.4332,172.0832,1.0156,0,0
LabelMap,BinaryReconstructionByDilationImageFilter,4.3720,4.6956,1.0740,0,0
LabelMap,BinaryReconstructionByErosionImageFilter,9.0328,8.4082,0.9308,0,0
LabelMap,LabelImageToShapeLabelMapFilter,2.6692,2.6533,0.9940,0,0
LabelMap,LabelImageToStatisticsLabelMapFilter,168.7128,171.0421,1.0138,0,0
LabelMap,BinaryImageToStatisticsLabelMapFilter,5.2680,5.7263,1.0870,0,0
LabelMap,ShapeOpeningLabelMapFilter,0.0235,0.0215,0.9148,0,0
LabelMap,ShapeRelabelLabelMapFilter,0.0204,0.0189,0.9272,0,0
LabelMap,ShapeUniqueLabelMapFilter,0.0189,0.0177,0.9368,0,0
LabelMap,AutoCropLabelMapFilter,0.0430,0.0365,0.8499,0,0
LabelMap,ShiftScaleLabelMapFilter,0.0207,0.0192,0.9297,0,0
LabelMap,LabelSelectionLabelMapFilter,0.0248,0.0237,0.9561,0,0
LabelMap,MergeLabelMapFilter,0.0252,0.0233,0.9254,0,0
LabelMap,AggregateLabelMapFilter,0.0203,0.0195,0.9591,0,0
LabelMap,PadLabelMapFilter,0.0510,0.0380,0.7442,0,0
LabelMap,CropLabelMapFilter,0.0205,0.0196,0.9534,0,0
LabelMap,StatisticsOpeningLabelMapFilter,0.0267,0.0244,0.9137,0,0
LabelMap,StatisticsRelabelLabelMapFilter,0.0211,0.0184,0.8698,0,0
LabelMap,StatisticsKeepNObjectsLabelMapFilter,0.0287,0.0256,0.8941,0,0
LabelMap,LabelMapMaskImageFilter,2.7815,3.0102,1.0822,0,0
LabelMap,LabelMapToAttributeImageFilter,0.0235,0.0239,1.0194,0,0
DisplacementField,IterativeInverseDisplacementFieldImageFilter,573.5148,532.4536,0.9284,0,0
DisplacementField,DisplacementFieldToBSplineImageFilter,5.0524,4.9046,0.9708,0,0
DisplacementField,TransformToDisplacementFieldFilter,0.7900,0.6411,0.8115,0,0
FFT,VnlForward1DFFTImageFilter,1.4999,1.8332,1.2222,0,0
FFT,VnlInverse1DFFTImageFilter,1.6856,1.7748,1.0530,0,0
FFT,VnlRealToHalfHermitianForwardFFTImageFilter,122.9410,142.5740,1.1597,0,0
FFT,VnlHalfHermitianToRealInverseFFTImageFilter,124.6178,143.8535,1.1544,0,0
FFT,FullToHalfHermitianImageFilter,0.9509,1.1925,1.2541,0,0
FFT,HalfToFullHermitianImageFilter,0.9004,1.8358,2.0390,0,0
FFT,ComplexToModulusImageFilter,0.8317,0.9480,1.1397,0,0
FFT,ComplexToRealImageFilter,0.7757,0.9857,1.2707,0,0
FFT,ComplexToImaginaryImageFilter,0.8005,0.8348,1.0429,0,0
FFT,ComplexToPhaseImageFilter,1.2715,1.5754,1.2390,0,0
AnisotropicSmoothing,VectorGradientAnisotropicDiffusionImageFilter,255.8164,236.8593,0.9259,0,0
AnisotropicSmoothing,VectorCurvatureAnisotropicDiffusionImageFilter,248.4258,246.1250,0.9907,0,0
ImageIntensity,VectorRescaleIntensityImageFilter,3.1331,3.2260,1.0297,0,0
ImageIntensity,VectorIndexSelectionCastImageFilter,0.7544,0.7839,1.0391,0,0
ImageGrid,WarpVectorImageFilter,1.5608,1.4836,0.9506,0,0
ImageIntensity,TernaryMagnitudeImageFilter,0.9053,1.0722,1.1843,0,0
ImageIntensity,BinaryMagnitudeImageFilter,0.9307,0.9723,1.0447,0,0
ImageIntensity,EdgePotentialImageFilter,3.7060,3.3841,0.9131,0,0
ImageFusion,LabelToRGBImageFilter,1.5595,1.5985,1.0250,0,0
ImageFusion,LabelOverlayImageFilter,1.9394,2.0979,1.0817,0,0
ImageIntensity,RGBToLuminanceImageFilter,3.1703,3.1462,0.9924,0,0
ImageGrid,InterpolateImageFilter,14.4971,13.1911,0.9099,0,0
ImageGrid,SliceImageFilter,0.8442,0.9611,1.1385,0,0
Thresholding,HistogramThresholdImageFilter,3.3851,3.6478,1.0776,0,0
BiasCorrection,N4BiasFieldCorrectionImageFilter,363.8183,354.5860,0.9746,0,0
ImageSources,GridImageSource,52.0352,53.6067,1.0302,0,0
ImageSources,PhysicalPointImageSource,1.2960,1.2736,0.9827,0,0
ImageFeature,HoughTransform2DLinesImageFilter,0.0796,0.1800,2.2608,0,0
ImageFeature,HessianToObjectnessMeasureImageFilter,40.2955,43.1541,1.0709,0,0
ImageStatistics,LabelOverlapMeasuresImageFilter,0.8759,1.1039,1.2604,0,0
ImageStatistics,LabelStatisticsImageFilter,1.0555,0.7835,0.7423,0,0
Common,ImageRegistrationMethod,108.6244,116.7234,1.0746,0,0
PDEDeformable,DiffeomorphicDemonsRegistrationFilter,80.0573,113.4916,1.4176,0,0
PDEDeformable,LevelSetMotionRegistrationFilter,32.5031,79.0054,2.4307,0,0
Common,BlockMatchingImageFilter,0.7179,0.7972,1.1105,0,0
Denoising,PatchBasedDenoisingImageFilter,847.9688,893.6198,1.0538,0,0
Voronoi,VoronoiSegmentationImageFilter,1.0800,1.0918,1.0109,0,0
Voronoi,VoronoiPartitioningImageFilter,1.2497,1.2332,0.9868,0,0
LabelVoting,MultiLabelSTAPLEImageFilter,111.4031,112.8622,1.0131,0,0
Classifiers,BayesianClassifierInitializationImageFilter,2779.1755,2815.3770,1.0130,0,0
ImageIntensity,TernaryMagnitudeSquaredImageFilter,0.6966,0.7782,1.1172,0,0
ImageIntensity,MagnitudeAndPhaseToComplexImageFilter,3.6850,4.8374,1.3127,0,0
ImageGrid,PadImageFilter,0.8206,0.8422,1.0263,0,0
ImageGradient,VectorGradientMagnitudeImageFilter,832.3212,832.9583,1.0008,0,0
ImageFrequency,FrequencyBandImageFilter,1.2319,1.8722,1.5198,0,0
ImageFusion,LabelMapOverlayImageFilter,0.0528,0.0528,1.0011,0,0
ImageFusion,LabelMapToRGBImageFilter,0.0242,0.0224,0.9273,0,0
LabelMap,ChangeRegionLabelMapFilter,0.0212,0.0194,0.9185,0,0
LabelMap,ShapeLabelMapFilter,0.0206,0.0195,0.9465,0,0
