module,operator,ms_float,ms_double,speedup,max_abs,rmse
MathematicalMorphology,AnchorDilateImageFilter,15.2728,13.9997,0.9166,0,0
MathematicalMorphology,AnchorErodeImageFilter,13.5392,10.2403,0.7563,0,0
MathematicalMorphology,AnchorOpenImageFilter,14.4948,11.2478,0.7760,0,0
MathematicalMorphology,AnchorCloseImageFilter,13.5623,12.8001,0.9438,0,0
MathematicalMorphology,BasicDilateImageFilter,1.5579,1.4049,0.9018,0,0
MathematicalMorphology,BasicErodeImageFilter,1.7657,1.4711,0.8332,0,0
MathematicalMorphology,GrayscaleFunctionDilateImageFilter,2.0902,2.2229,1.0635,0,0
MathematicalMorphology,GrayscaleFunctionErodeImageFilter,2.1692,2.2941,1.0576,0,0
MathematicalMorphology,MovingHistogramDilateImageFilter,8.3236,8.5834,1.0312,0,0
MathematicalMorphology,MovingHistogramErodeImageFilter,6.3851,5.7973,0.9079,0,0
MathematicalMorphology,MovingHistogramMorphologicalGradientImageFilter,9.4727,13.5820,1.4338,0,0
MathematicalMorphology,VanHerkGilWermanDilateImageFilter,1.4119,1.3540,0.9590,0,0
MathematicalMorphology,VanHerkGilWermanErodeImageFilter,1.5933,1.6401,1.0294,0,0
MathematicalMorphology,GrayscaleConnectedOpeningImageFilter,414.1392,418.2682,1.0100,0,0
MathematicalMorphology,GrayscaleConnectedClosingImageFilter,319.7039,352.6573,1.1031,0,0
MathematicalMorphology,GrayscaleGeodesicDilateImageFilter,12.3163,15.0902,1.2252,0,0
MathematicalMorphology,GrayscaleGeodesicErodeImageFilter,12.7599,15.7888,1.2374,0,0
MathematicalMorphology,ReconstructionByDilationImageFilter,84.6231,90.2810,1.0669,0,0
MathematicalMorphology,ReconstructionByErosionImageFilter,88.2752,94.7877,1.0738,0,0
MathematicalMorphology,MaskedRankImageFilter,2.0355,2.0091,0.9870,0,0
LabelMap,BinaryShapeOpeningImageFilter,3.0196,3.1654,1.0483,0,0
